file,image type,face id,dominant 1,percent 1,dominant 2,percent 2,skin tone,tone label,accuracy(0-100)
3.PNG,color,1,#DBA98D,0.70,#967055,0.30,#BEA07E,CG,89.19
3.PNG,color,1,#DBA98D,0.70,#967055,0.30,#BEA07E,CG,89.19
