file,image type,face id,dominant 1,percent 1,dominant 2,percent 2,skin tone,tone label,accuracy(0-100)
26.PNG,color,1,#DAAE95,0.68,#715244,0.32,#BEA07E,CG,84.25
26.PNG,color,1,#DAAE95,0.68,#715244,0.32,#BEA07E,CG,84.25
