file,image type,face id,dominant 1,percent 1,dominant 2,percent 2,skin tone,tone label,accuracy(0-100)
15.PNG,color,1,#DFB4A3,0.71,#825D53,0.29,#E7C1B8,CI,87.35
15.PNG,color,1,#DFB4A3,0.71,#825D53,0.29,#E7C1B8,CI,87.35
